T,X,V
4.93333,-0.47057,-0.188249
4.94667,-0.472657,-0.124732
4.96,-0.473897,-0.0612466
4.97333,-0.474291,0.00209347
4.98667,-0.473842,0.065177
5,-0.472554,0.127893
5.01333,-0.470434,0.190132
5.02667,-0.467487,0.251785
5.04,-0.463722,0.312745
5.05333,-0.45915,0.372908
5.06667,-0.453782,0.432168
5.08,-0.44763,0.490425
5.09333,-0.440709,0.54758
5.10667,-0.433034,0.603535
5.12,-0.424621,0.658196
5.13333,-0.415488,0.711472
5.14667,-0.405655,0.763272
5.16,-0.395141,0.813512
5.17333,-0.383968,0.862108
5.18667,-0.372159,0.908981
5.2,-0.359737,0.954054
5.21333,-0.346726,0.997254
5.22667,-0.333152,1.03851
5.24,-0.319041,1.07777
5.25333,-0.304421,1.11495
5.26667,-0.289319,1.15001
5.28,-0.273764,1.18288
5.29333,-0.257785,1.21353
5.30667,-0.241413,1.2419
5.32,-0.224678,1.26796
5.33333,-0.207611,1.29166
5.34667,-0.190244,1.31298
5.36,-0.172609,1.33188
5.37333,-0.154738,1.34835
5.38667,-0.136664,1.36235
5.4,-0.11842,1.37389
5.41333,-0.100038,1.38294
5.42667,-0.0815525,1.3895
5.44,-0.0629959,1.39357
5.45333,-0.0444017,1.39515
5.46667,-0.025803,1.39425
5.48,-0.00723266,1.39088
5.49333,0.0112763,1.38506
5.50667,0.0296914,1.3768
5.52,0.0479803,1.36614
5.53333,0.0661111,1.35309
5.54667,0.0840522,1.33769
5.56,0.101773,1.31999
5.57333,0.119242,1.30001
5.58667,0.13643,1.2778
5.6,0.153307,1.25342
5.61333,0.169845,1.22691
5.62667,0.186015,1.19833
5.64,0.201791,1.16774
5.65333,0.217146,1.1352
5.66667,0.232055,1.10078
5.68,0.246492,1.06454
5.69333,0.260435,1.02655
5.70667,0.27386,0.9869
5.72,0.286745,0.945655
5.73333,0.29907,0.902896
5.74667,0.310816,0.858707
5.76,0.321963,0.813171
5.77333,0.332495,0.766374
5.78667,0.342395,0.718404
5.8,0.351648,0.669352
5.81333,0.36024,0.619307
5.82667,0.368158,0.568364
5.84,0.375392,0.516616
5.85333,0.381932,0.464159
5.86667,0.387767,0.411087
5.88,0.392892,0.357498
5.89333,0.397299,0.303488
5.90667,0.400983,0.249156
5.92,0.403942,0.194599
5.93333,0.406172,0.139914
5.94667,0.407673,0.0851993
5.96,0.408444,0.0305519
5.97333,0.408488,-0.0239315
5.98667,0.407807,-0.078155
6,0.406406,-0.132023
6.01333,0.404289,-0.185442
6.02667,0.401463,-0.238319
6.04,0.397936,-0.290562
6.05333,0.393718,-0.342081
6.06667,0.388818,-0.392788
6.08,0.383247,-0.442595
6.09333,0.37702,-0.491419
6.10667,0.370148,-0.539175
6.12,0.362647,-0.585785
6.13333,0.354532,-0.631169
6.14667,0.345821,-0.675253
6.16,0.336532,-0.717962
6.17333,0.326682,-0.759228
6.18667,0.316292,-0.798982
6.2,0.305383,-0.837159
6.21333,0.293975,-0.8737
6.22667,0.282092,-0.908544
6.24,0.269755,-0.941638
6.25333,0.256989,-0.972929
6.26667,0.243819,-1.00237
6.28,0.230268,-1.02991
6.29333,0.216363,-1.05552
6.30667,0.20213,-1.07915
6.32,0.187594,-1.10078
6.33333,0.172784,-1.12036
6.34667,0.157727,-1.13788
6.36,0.14245,-1.15331
6.37333,0.126981,-1.16664
6.38667,0.111349,-1.17784
6.4,0.0955819,-1.18691
6.41333,0.079708,-1.19383
6.42667,0.063756,-1.19861
6.44,0.0477546,-1.20124
6.45333,0.0317323,-1.20174
6.46667,0.0157178,-1.2001
6.48,-0.000260772,-1.19633
6.49333,-0.016175,-1.19046
6.50667,-0.0319971,-1.1825
6.52,-0.0476992,-1.17248
6.53333,-0.0632541,-1.16041
6.54667,-0.0786346,-1.14634
6.56,-0.0938142,-1.13028
6.57333,-0.108767,-1.11229
6.58667,-0.123467,-1.09239
6.6,-0.137889,-1.07064
6.61333,-0.152009,-1.04707
6.62667,-0.165803,-1.02174
6.64,-0.179248,-0.994704
6.65333,-0.192321,-0.966006
6.66667,-0.205001,-0.935709
6.68,-0.217267,-0.903874
6.69333,-0.229098,-0.870562
6.70667,-0.240475,-0.835839
6.72,-0.251381,-0.799771
6.73333,-0.261797,-0.762429
6.74667,-0.271707,-0.723883
6.76,-0.281095,-0.684207
6.77333,-0.289948,-0.643476
6.78667,-0.29825,-0.601766
6.8,-0.305991,-0.559155
6.81333,-0.313158,-0.515722
6.82667,-0.31974,-0.471547
6.84,-0.325729,-0.426713
6.85333,-0.331117,-0.3813
6.86667,-0.335895,-0.335392
6.88,-0.340059,-0.289073
6.89333,-0.343602,-0.242425
6.90667,-0.346522,-0.195534
6.92,-0.348816,-0.148483
6.93333,-0.350481,-0.101357
6.94667,-0.351519,-0.0542385
6.96,-0.351928,-0.0072122
6.97333,-0.351712,0.0396391
6.98667,-0.350872,0.0862331
7,-0.349414,0.132488
7.01333,-0.347341,0.178323
7.02667,-0.344661,0.22366
7.04,-0.341379,0.268418
7.05333,-0.337506,0.312521
7.06667,-0.333049,0.355894
7.08,-0.328019,0.398463
7.09333,-0.322427,0.440154
7.10667,-0.316286,0.480899
7.12,-0.309608,0.520627
7.13333,-0.302407,0.559274
7.14667,-0.294699,0.596774
7.16,-0.286498,0.633066
7.17333,-0.277823,0.66809
7.18667,-0.268689,0.701789
7.2,-0.259114,0.734108
7.21333,-0.249119,0.764996
7.22667,-0.238721,0.794404
7.24,-0.227941,0.822285
7.25333,-0.2168,0.848596
7.26667,-0.205319,0.873297
7.28,-0.19352,0.896349
7.29333,-0.181424,0.91772
7.30667,-0.169055,0.937377
7.32,-0.156435,0.955294
7.33333,-0.143588,0.971443
7.34667,-0.130538,0.985806
7.36,-0.117308,0.998362
7.37333,-0.103923,1.0091
7.38667,-0.090407,1.018
7.4,-0.0767846,1.02506
7.41333,-0.0630804,1.03027
7.42667,-0.0493189,1.03364
7.44,-0.0355249,1.03516
7.45333,-0.0217229,1.03483
7.46667,-0.00793753,1.03267
7.48,0.00580692,1.02869
7.49333,0.0194862,1.0229
7.50667,0.0330763,1.01532
7.52,0.0465535,1.00597
7.53333,0.0598943,0.994865
7.54667,0.0730756,0.982044
7.56,0.0860746,0.967532
7.57333,0.098869,0.951362
7.58667,0.111437,0.933568
7.6,0.123757,0.91419
7.61333,0.135809,0.893267
7.62667,0.147571,0.870843
7.64,0.159025,0.846963
7.65333,0.17015,0.821677
7.66667,0.18093,0.795034
7.68,0.191345,0.767087
7.69333,0.20138,0.73789
7.70667,0.211017,0.707501
7.72,0.220242,0.675979
7.73333,0.229039,0.643383
7.74667,0.237394,0.609776
7.76,0.245295,0.575221
7.77333,0.252729,0.539784
7.78667,0.259686,0.503531
7.8,0.266154,0.466529
7.81333,0.272123,0.428847
7.82667,0.277587,0.390555
7.84,0.282536,0.351723
7.85333,0.286964,0.312422
7.86667,0.290865,0.272724
7.88,0.294235,0.232701
7.89333,0.29707,0.192424
7.90667,0.299366,0.151967
7.92,0.301121,0.111401
7.93333,0.302336,0.0708006
7.94667,0.30301,0.0302361
7.96,0.303143,-0.01022
7.97333,0.302738,-0.0504966
7.98667,0.301797,-0.0905227
8,0.300325,-0.130228
8.01333,0.298326,-0.169545
8.02667,0.295806,-0.208403
8.04,0.292771,-0.246737
8.05333,0.289229,-0.28448
8.06667,0.285188,-0.321568
8.08,0.280657,-0.357937
8.09333,0.275647,-0.393526
8.10667,0.270167,-0.428275
8.12,0.26423,-0.462125
8.13333,0.257848,-0.49502
8.14667,0.251034,-0.526906
8.16,0.243802,-0.55773
8.17333,0.236166,-0.587442
8.18667,0.228142,-0.615993
8.2,0.219745,-0.643337
8.21333,0.210992,-0.669431
8.22667,0.201899,-0.694233
8.24,0.192485,-0.717704
8.25333,0.182767,-0.739809
8.26667,0.172763,-0.760512
8.28,0.162493,-0.779785
8.29333,0.151975,-0.797596
8.30667,0.14123,-0.813922
8.32,0.130277,-0.828739
8.33333,0.119137,-0.842027
8.34667,0.10783,-0.853767
8.36,0.0963768,-0.863947
8.37333,0.0847984,-0.872553
8.38667,0.0731158,-0.879577
8.4,0.0613501,-0.885012
8.41333,0.0495225,-0.888856
8.42667,0.0376543,-0.891108
8.44,0.0257667,-0.89177
8.45333,0.0138808,-0.890847
8.46667,0.00201779,-0.888347
8.48,-0.00980148,-0.884282
8.49333,-0.0215562,-0.878664
8.50667,-0.0332257,-0.87151
8.52,-0.0447897,-0.862839
8.53333,-0.0562281,-0.852671
8.54667,-0.0675211,-0.841032
8.56,-0.0786492,-0.827947
8.57333,-0.0895933,-0.813445
8.58667,-0.100335,-0.797558
8.6,-0.110856,-0.78032
8.61333,-0.121138,-0.761767
8.62667,-0.131164,-0.741936
8.64,-0.140917,-0.720868
8.65333,-0.150382,-0.698606
8.66667,-0.159541,-0.675193
8.68,-0.168382,-0.650675
8.69333,-0.176888,-0.625102
8.70667,-0.185047,-0.598521
8.72,-0.192844,-0.570985
8.73333,-0.200269,-0.542546
8.74667,-0.207308,-0.513258
8.76,-0.213952,-0.483176
8.77333,-0.22019,-0.452358
8.78667,-0.226012,-0.420859
8.8,-0.23141,-0.38874
8.81333,-0.236376,-0.35606
8.82667,-0.240903,-0.322879
8.84,-0.244984,-0.289257
8.85333,-0.248615,-0.255256
8.86667,-0.25179,-0.220938
8.88,-0.254505,-0.186365
8.89333,-0.256758,-0.1516
8.90667,-0.258547,-0.116704
8.92,-0.25987,-0.0817412
8.93333,-0.260727,-0.0467725
8.94667,-0.261118,-0.0118605
8.96,-0.261044,0.0229333
8.97333,-0.260507,0.0575474
8.98667,-0.25951,0.0919213
9,-0.258057,0.125995
9.01333,-0.256152,0.159709
9.02667,-0.2538,0.193005
9.04,-0.251007,0.225826
9.05333,-0.24778,0.258115
9.06667,-0.244127,0.289818
9.08,-0.240055,0.320879
9.09333,-0.235573,0.351248
9.10667,-0.230691,0.380872
9.12,-0.22542,0.409702
9.13333,-0.21977,0.437691
9.14667,-0.213752,0.464791
9.16,-0.20738,0.490959
9.17333,-0.200664,0.516151
9.18667,-0.19362,0.540327
9.2,-0.18626,0.563447
9.21333,-0.1786,0.585477
9.22667,-0.170653,0.606379
9.24,-0.162435,0.626122
9.25333,-0.153961,0.644676
9.26667,-0.145249,0.662012
9.28,-0.136313,0.678105
