T,X,V
6.01333,0.986208,-0.523383
6.02667,0.978356,-0.654373
6.04,0.968764,-0.7842
6.05333,0.95745,-0.912633
6.06667,0.944434,-1.03944
6.08,0.929739,-1.16441
6.09333,0.913392,-1.2873
6.10667,0.895422,-1.40791
6.12,0.875859,-1.52601
6.13333,0.85474,-1.6414
6.14667,0.832102,-1.75387
6.16,0.807984,-1.86323
6.17333,0.78243,-1.96927
6.18667,0.755486,-2.07181
6.2,0.727198,-2.17067
6.21333,0.697618,-2.26568
6.22667,0.666798,-2.35665
6.24,0.634793,-2.44344
6.25333,0.601659,-2.52588
6.26667,0.567456,-2.60383
6.28,0.532244,-2.67716
6.29333,0.496086,-2.74572
6.30667,0.459047,-2.80941
6.32,0.421191,-2.8681
6.33333,0.382587,-2.92169
6.34667,0.343302,-2.97009
6.36,0.303408,-3.01321
6.37333,0.262974,-3.05097
6.38667,0.222072,-3.08332
6.4,0.180776,-3.11018
6.41333,0.139159,-3.13151
6.42667,0.0972942,-3.14727
6.44,0.0552565,-3.15745
6.45333,0.0131206,-3.16201
6.46667,-0.0290387,-3.16094
6.48,-0.0711463,-3.15426
6.49333,-0.113127,-3.14198
6.50667,-0.154908,-3.12411
6.52,-0.196412,-3.10068
6.53333,-0.237568,-3.07174
6.54667,-0.278301,-3.03735
6.56,-0.31854,-2.99755
6.57333,-0.358212,-2.95243
6.58667,-0.397248,-2.90206
6.6,-0.435578,-2.84653
6.61333,-0.473133,-2.78594
6.62667,-0.509847,-2.7204
6.64,-0.545655,-2.65002
6.65333,-0.580493,-2.57493
6.66667,-0.6143,-2.49527
6.68,-0.647014,-2.41117
6.69333,-0.678579,-2.32278
6.70667,-0.708937,-2.23027
6.72,-0.738035,-2.13379
6.73333,-0.765821,-2.03352
6.74667,-0.792246,-1.92963
6.76,-0.817262,-1.82231
6.77333,-0.840826,-1.71176
6.78667,-0.862896,-1.59816
6.8,-0.883431,-1.48172
6.81333,-0.902396,-1.36265
6.82667,-0.919758,-1.24115
6.84,-0.935484,-1.11745
6.85333,-0.949548,-0.991763
6.86667,-0.961923,-0.864313
6.88,-0.972589,-0.735326
6.89333,-0.981526,-0.605033
6.90667,-0.988718,-0.473664
6.92,-0.994153,-0.341453
6.93333,-0.997821,-0.208635
6.94667,-0.999715,-0.0754459
6.96,-0.999832,0.0578771
6.97333,-0.998172,0.191097
6.98667,-0.994738,0.323978
7,-0.989536,0.456282
7.01333,-0.982574,0.587775
7.02667,-0.973866,0.718224
7.04,-0.963427,0.847396
7.05333,-0.951276,0.975062
7.06667,-0.937433,1.10099
7.08,-0.921925,1.22497
7.09333,-0.904777,1.34677
7.10667,-0.886021,1.46617
7.12,-0.865691,1.58297
7.13333,-0.843821,1.69695
7.14667,-0.820452,1.80792
7.16,-0.795624,1.91568
7.17333,-0.769382,2.02003
7.18667,-0.741773,2.12079
