T,X,V
9.85333,-0.0404803,-3.53437
9.86667,-0.08758,-3.53004
9.88,-0.1346,-3.52235
9.89333,-0.181493,-3.511
9.90667,-0.228209,-3.4956
9.92,-0.274689,-3.47563
9.93333,-0.320869,-3.45046
9.94667,-0.366675,-3.41938
9.96,-0.412023,-3.38157
9.97333,-0.456816,-3.33616
9.98667,-0.500949,-3.28221
10,-0.5443,-3.21876
10.0133,-0.586736,-3.14481
10.0267,-0.62811,-3.05941
10.04,-0.668265,-2.96165
10.0533,-0.707029,-2.85068
10.0667,-0.744221,-2.72579
10.08,-0.779652,-2.58641
10.0933,-0.813126,-2.43218
10.1067,-0.844444,-2.26294
10.12,-0.873405,-2.0788
10.1333,-0.899814,-1.88016
10.1467,-0.923481,-1.66769
10.16,-0.944228,-1.44238
10.1733,-0.961893,-1.20553
10.1867,-0.976331,-0.958707
10.2,-0.987422,-0.703738
10.2133,-0.99507,-0.442668
10.2267,-0.999209,-0.177707
10.24,-0.999802,0.0888279
10.2533,-0.996844,0.354575
10.2667,-0.990361,0.617196
10.28,-0.980409,0.874437
10.2933,-0.967076,1.12419
10.3067,-0.950473,1.36456
10.32,-0.930737,1.59388
10.3333,-0.908025,1.81075
10.3467,-0.88251,2.0141
10.36,-0.854379,2.20314
10.3733,-0.823826,2.37737
10.3867,-0.791049,2.53661
10.4,-0.756249,2.68091
10.4133,-0.719623,2.81058
10.4267,-0.681363,2.92612
10.44,-0.641653,3.02821
10.4533,-0.600667,3.11763
10.4667,-0.558569,3.1953
10.48,-0.515507,3.26214
10.4933,-0.471622,3.31916
10.5067,-0.427036,3.36731
10.52,-0.381862,3.40755
10.5333,-0.336199,3.44079
10.5467,-0.290135,3.46784
10.56,-0.243747,3.48948
10.5733,-0.197104,3.50634
10.5867,-0.150264,3.51899
10.6,-0.103281,3.52786
10.6133,-0.0562027,3.53329
10.6267,-0.0090741,3.53547
10.64,0.0380626,3.5345
10.6533,0.0851652,3.53034
10.6667,0.13219,3.52283
10.68,0.179091,3.51168
10.6933,0.225817,3.4965
10.7067,0.272311,3.47678
10.72,0.318508,3.45189
10.7333,0.364335,3.42113
10.7467,0.409709,3.38369
10.76,0.454533,3.33869
10.7733,0.498703,3.2852
10.7867,0.542097,3.22226
10.8,0.584583,3.14887
10.8133,0.626016,3.06409
10.8267,0.666237,2.96698
10.84,0.705077,2.8567
10.8533,0.742354,2.73254
10.8667,0.77788,2.59392
10.88,0.81146,2.44045
10.8933,0.842892,2.27198
10.9067,0.871979,2.08861
10.92,0.898524,1.89069
10.9333,0.922336,1.67891
10.9467,0.943237,1.45423
10.96,0.961064,1.21794
10.9733,0.975671,0.971585
10.9867,0.986936,0.716985
11,0.994763,0.456176
11.0133,0.999083,0.191359
11.0267,0.999858,-0.0751526
11.04,0.997082,-0.340998
11.0533,0.990778,-0.603834
11.0667,0.981003,-0.861404
11.08,0.967841,-1.11159
11.0933,0.951402,-1.35248
11.1067,0.931823,-1.5824
11.12,0.90926,-1.79995
11.1333,0.883884,-2.00401
11.1467,0.855883,-2.1938
11.16,0.825449,-2.3688
11.1733,0.792782,-2.5288
11.1867,0.758081,-2.67387
11.2,0.721544,-2.80428
11.2133,0.683363,-2.92053
11.2267,0.643723,-3.02329
11.24,0.602798,-3.11334
11.2533,0.560753,-3.19158
11.2667,0.517738,-3.25896
11.28,0.473891,-3.31645
11.2933,0.429339,-3.36504
11.3067,0.384192,-3.40567
11.32,0.338552,-3.43924
11.3333,0.292507,-3.46659
11.3467,0.246134,-3.48849
11.36,0.199502,-3.50558
11.3733,0.152671,-3.51843
11.3867,0.105694,-3.52749
11.4,0.0586196,-3.53309
11.4133,0.0114926,-3.53544
11.4267,-0.0356447,-3.53463
11.44,-0.0827501,-3.53064
11.4533,-0.12978,-3.5233
11.4667,-0.176689,-3.51235
11.48,-0.223425,-3.49738
11.4933,-0.269932,-3.47791
11.5067,-0.316146,-3.45331
11.52,-0.361994,-3.42286
11.5333,-0.407393,-3.38579
11.5467,-0.452249,-3.3412
11.56,-0.496454,-3.28817
11.5733,-0.539891,-3.22573
11.5867,-0.582428,-3.15291
11.6,-0.623918,-3.06873
11.6133,-0.664206,-2.97227
11.6267,-0.703121,-2.86269
11.64,-0.740483,-2.73926
11.6533,-0.776103,-2.60139
11.6667,-0.809787,-2.44869
11.68,-0.841335,-2.28099
11.6933,-0.870547,-2.09837
11.7067,-0.897227,-1.90119
11.72,-0.921184,-1.6901
11.7333,-0.942239,-1.46606
11.7467,-0.960227,-1.23032
11.76,-0.975002,-0.984441
11.7733,-0.986441,-0.730217
11.7867,-0.994446,-0.469673
11.8,-0.998947,-0.205006
11.8133,-0.999905,0.0614753
11.8267,-0.997311,0.327412
