T,X,V
5.53333,0.441423,0.704112
5.54667,0.450478,0.653916
5.56,0.458854,0.602282
5.57333,0.466533,0.549308
5.58667,0.473497,0.495104
5.6,0.479731,0.439793
5.61333,0.485221,0.383505
5.62667,0.489954,0.326381
5.64,0.493921,0.268571
5.65333,0.497113,0.210231
5.66667,0.499526,0.151524
5.68,0.501153,0.0926141
5.69333,0.501995,0.0336721
5.70667,0.502052,-0.0251321
5.72,0.501326,-0.0836287
5.73333,0.499824,-0.14165
5.74667,0.497552,-0.199032
5.76,0.49452,-0.255615
5.77333,0.49074,-0.311247
5.78667,0.486225,-0.365783
5.8,0.480991,-0.419087
5.81333,0.475055,-0.471034
5.82667,0.468436,-0.521507
5.84,0.461155,-0.570403
5.85333,0.453233,-0.617631
5.86667,0.444693,-0.66311
5.88,0.435558,-0.706774
5.89333,0.425854,-0.748566
5.90667,0.415605,-0.788445
5.92,0.404837,-0.826379
5.93333,0.393577,-0.862347
5.94667,0.38185,-0.896342
5.96,0.369683,-0.928363
5.97333,0.357103,-0.95842
5.98667,0.344134,-0.986532
6,0.330804,-1.01272
6.01333,0.317137,-1.03703
6.02667,0.303158,-1.05948
6.04,0.288892,-1.08013
6.05333,0.274362,-1.09902
6.06667,0.259592,-1.1162
6.08,0.244604,-1.13172
6.09333,0.22942,-1.14563
6.10667,0.214061,-1.15799
6.12,0.198547,-1.16885
6.13333,0.182898,-1.17826
6.14667,0.167133,-1.18628
6.16,0.15127,-1.19294
6.17333,0.135327,-1.1983
6.18667,0.119321,-1.2024
6.2,0.103268,-1.20528
6.21333,0.087185,-1.20698
6.22667,0.071087,-1.20753
6.24,0.0549893,-1.20695
6.25333,0.0389065,-1.20528
6.26667,0.0228533,-1.20253
6.28,0.00684387,-1.19871
6.29333,-0.00910774,-1.19385
6.30667,-0.0249876,-1.18795
6.32,-0.0407818,-1.18101
6.33333,-0.0564766,-1.17304
6.34667,-0.0720582,-1.16402
6.36,-0.0875126,-1.15397
6.37333,-0.102826,-1.14285
6.38667,-0.117984,-1.13067
6.4,-0.132972,-1.11741
6.41333,-0.147777,-1.10306
6.42667,-0.162382,-1.08759
6.44,-0.176774,-1.07099
6.45333,-0.190937,-1.05324
6.46667,-0.204855,-1.03431
6.48,-0.218513,-1.0142
6.49333,-0.231895,-0.992885
6.50667,-0.244985,-0.970346
6.52,-0.257766,-0.946572
6.53333,-0.270221,-0.921551
6.54667,-0.282335,-0.895275
6.56,-0.29409,-0.867741
6.57333,-0.305469,-0.838948
6.58667,-0.316456,-0.808901
6.6,-0.327034,-0.777611
6.61333,-0.337187,-0.745091
6.62667,-0.346898,-0.711365
6.64,-0.356151,-0.67646
6.65333,-0.364932,-0.640409
6.66667,-0.373224,-0.603254
6.68,-0.381014,-0.565041
6.69333,-0.388287,-0.525826
6.70667,-0.395032,-0.485668
6.72,-0.401234,-0.444635
6.73333,-0.406885,-0.402801
6.74667,-0.411973,-0.360244
6.76,-0.416489,-0.31705
6.77333,-0.420425,-0.273308
6.78667,-0.423775,-0.229114
6.8,-0.426533,-0.184564
6.81333,-0.428695,-0.139761
6.82667,-0.430259,-0.0948073
6.84,-0.431223,-0.0498093
6.85333,-0.431588,-0.00487281
6.86667,-0.431354,0.0398958
6.88,-0.430525,0.0843911
6.89333,-0.429105,0.128509
6.90667,-0.4271,0.172148
6.92,-0.424517,0.21521
6.93333,-0.421364,0.2576
6.94667,-0.417651,0.299227
6.96,-0.413389,0.340006
6.97333,-0.408589,0.379857
6.98667,-0.403264,0.418707
7,-0.397428,0.456486
7.01333,-0.391096,0.493135
7.02667,-0.384283,0.528599
7.04,-0.377005,0.562829
7.05333,-0.36928,0.595785
7.06667,-0.361123,0.627433
7.08,-0.352554,0.657745
7.09333,-0.34359,0.6867
7.10667,-0.334248,0.714284
7.12,-0.324548,0.740487
7.13333,-0.314508,0.765307
7.14667,-0.304146,0.788745
7.16,-0.293481,0.810807
7.17333,-0.282531,0.831504
7.18667,-0.271314,0.850852
7.2,-0.259847,0.868868
7.21333,-0.24815,0.885573
7.22667,-0.236238,0.90099
7.24,-0.224129,0.915146
7.25333,-0.211839,0.928066
7.26667,-0.199386,0.939778
7.28,-0.186784,0.950312
7.29333,-0.174049,0.959697
7.30667,-0.161197,0.96796
7.32,-0.148242,0.975131
7.33333,-0.135198,0.981237
7.34667,-0.12208,0.986304
7.36,-0.108901,0.99036
